package,version,relationship,license,status
"@adobe/css-tools","4.5.0","transitive","MIT","MIT"
"@alloc/quick-lru","5.2.0","transitive","MIT","MIT"
"@asamuzakjp/css-color","5.1.11","transitive","MIT","MIT"
"@asamuzakjp/dom-selector","7.1.1","transitive","MIT","MIT"
"@asamuzakjp/generational-cache","1.0.1","transitive","MIT","MIT"
"@asamuzakjp/nwsapi","2.3.9","transitive","MIT","MIT"
"@ast-grep/napi","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-darwin-arm64","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-darwin-x64","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-linux-arm64-gnu","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-linux-arm64-musl","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-linux-x64-gnu","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-linux-x64-musl","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-win32-arm64-msvc","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-win32-ia32-msvc","0.40.5","transitive","MIT","MIT"
"@ast-grep/napi-win32-x64-msvc","0.40.5","transitive","MIT","MIT"
"@aws-crypto/sha1-browser","5.2.0","transitive","Apache-2.0","FLAGGED"
"@aws-crypto/sha256-browser","5.2.0","transitive","Apache-2.0","FLAGGED"
"@aws-crypto/sha256-js","5.2.0","transitive","Apache-2.0","FLAGGED"
"@aws-crypto/supports-web-crypto","5.2.0","transitive","Apache-2.0","FLAGGED"
"@aws-crypto/util","5.2.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/checksums","3.1000.29","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/client-cloudfront","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/client-dynamodb","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/client-lambda","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/client-s3","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/client-sqs","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/core","3.977.9","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-env","3.972.70","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-http","3.972.72","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-ini","3.973.15","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-login","3.972.77","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-node","3.972.81","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-process","3.972.70","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-sso","3.973.14","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/credential-provider-web-identity","3.972.76","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/dynamodb-codec","3.973.44","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/endpoint-cache","3.972.11","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-bucket-endpoint","3.972.48","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-endpoint-discovery","3.972.30","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-expect-continue","3.972.44","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-flexible-checksums","3.974.54","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-host-header","3.972.45","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-location-constraint","3.972.41","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-logger","3.972.44","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-recursion-detection","3.972.46","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-sdk-s3","3.972.75","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-sdk-sqs","3.972.42","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-ssec","3.972.41","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/middleware-user-agent","3.972.74","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/nested-clients","3.997.44","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/region-config-resolver","3.972.48","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/signature-v4-multi-region","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/signature-v4-multi-region","3.996.46","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/signature-v4-multi-region","3.996.46","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/token-providers","3.1116.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/types","3.974.5","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/util-endpoints","3.984.0","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/util-locate-window","3.965.10","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/util-user-agent-browser","3.972.45","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/util-user-agent-node","3.973.60","transitive","Apache-2.0","FLAGGED"
"@aws-sdk/xml-builder","3.972.40","transitive","Apache-2.0","FLAGGED"
"@aws/lambda-invoke-store","0.3.0","transitive","Apache-2.0","FLAGGED"
"@babel/code-frame","7.29.7","transitive","MIT","MIT"
"@babel/compat-data","7.29.7","transitive","MIT","MIT"
"@babel/core","7.29.7","transitive","MIT","MIT"
"@babel/generator","7.29.8","transitive","MIT","MIT"
"@babel/helper-compilation-targets","7.29.7","transitive","MIT","MIT"
"@babel/helper-globals","7.29.7","transitive","MIT","MIT"
"@babel/helper-module-imports","7.29.7","transitive","MIT","MIT"
"@babel/helper-module-transforms","7.29.7","transitive","MIT","MIT"
"@babel/helper-string-parser","7.29.7","transitive","MIT","MIT"
"@babel/helper-validator-identifier","7.29.7","transitive","MIT","MIT"
"@babel/helper-validator-option","7.29.7","transitive","MIT","MIT"
"@babel/helpers","7.29.7","transitive","MIT","MIT"
"@babel/parser","7.29.8","transitive","MIT","MIT"
"@babel/runtime","7.29.7","transitive","MIT","MIT"
"@babel/template","7.29.7","transitive","MIT","MIT"
"@babel/traverse","7.29.8","transitive","MIT","MIT"
"@babel/types","7.29.8","transitive","MIT","MIT"
"@bcoe/v8-coverage","1.0.2","transitive","MIT","MIT"
"@bramus/specificity","2.4.2","transitive","MIT","MIT"
"@cloudflare/kv-asset-handler","0.5.0","transitive","MIT OR Apache-2.0","FLAGGED"
"@cloudflare/unenv-preset","2.16.1","transitive","MIT OR Apache-2.0","FLAGGED"
"@cloudflare/workerd-darwin-64","1.20260828.1","transitive","Apache-2.0","FLAGGED"
"@cloudflare/workerd-darwin-arm64","1.20260828.1","transitive","Apache-2.0","FLAGGED"
"@cloudflare/workerd-linux-64","1.20260828.1","transitive","Apache-2.0","FLAGGED"
"@cloudflare/workerd-linux-arm64","1.20260828.1","transitive","Apache-2.0","FLAGGED"
"@cloudflare/workerd-windows-64","1.20260828.1","transitive","Apache-2.0","FLAGGED"
"@cspotcode/source-map-support","0.8.1","transitive","MIT","MIT"
"@csstools/color-helpers","6.1.1","transitive","MIT-0","FLAGGED"
"@csstools/css-calc","3.3.0","transitive","MIT","MIT"
"@csstools/css-color-parser","4.2.1","transitive","MIT","MIT"
"@csstools/css-parser-algorithms","4.0.0","transitive","MIT","MIT"
"@csstools/css-syntax-patches-for-csstree","1.1.9","transitive","MIT-0","FLAGGED"
"@csstools/css-tokenizer","4.0.0","transitive","MIT","MIT"
"@dotenvx/dotenvx","1.31.0","transitive","BSD-3-Clause","FLAGGED"
"@ecies/ciphers","0.2.6","transitive","MIT","MIT"
"@eloqnt/config","0.0.2","transitive","UNKNOWN","FLAGGED"
"@eloqnt/format-json","0.0.3","transitive","UNKNOWN","FLAGGED"
"@eloqnt/format-po","0.0.3","transitive","UNKNOWN","FLAGGED"
"@emailjs/browser","4.4.1","direct-production","BSD-3-Clause","FLAGGED"
"@emnapi/core","1.10.0","transitive","MIT","MIT"
"@emnapi/runtime","1.10.0","transitive","MIT","MIT"
"@emnapi/runtime","1.11.3","transitive","MIT","MIT"
"@emnapi/wasi-threads","1.2.1","transitive","MIT","MIT"
"@esbuild/aix-ppc64","0.25.4","transitive","MIT","MIT"
"@esbuild/aix-ppc64","0.28.1","transitive","MIT","MIT"
"@esbuild/aix-ppc64","0.28.2","transitive","MIT","MIT"
"@esbuild/android-arm","0.25.4","transitive","MIT","MIT"
"@esbuild/android-arm","0.28.1","transitive","MIT","MIT"
"@esbuild/android-arm","0.28.2","transitive","MIT","MIT"
"@esbuild/android-arm64","0.25.4","transitive","MIT","MIT"
"@esbuild/android-arm64","0.28.1","transitive","MIT","MIT"
"@esbuild/android-arm64","0.28.2","transitive","MIT","MIT"
"@esbuild/android-x64","0.25.4","transitive","MIT","MIT"
"@esbuild/android-x64","0.28.1","transitive","MIT","MIT"
"@esbuild/android-x64","0.28.2","transitive","MIT","MIT"
"@esbuild/darwin-arm64","0.25.4","transitive","MIT","MIT"
"@esbuild/darwin-arm64","0.28.1","transitive","MIT","MIT"
"@esbuild/darwin-arm64","0.28.2","transitive","MIT","MIT"
"@esbuild/darwin-x64","0.25.4","transitive","MIT","MIT"
"@esbuild/darwin-x64","0.28.1","transitive","MIT","MIT"
"@esbuild/darwin-x64","0.28.2","transitive","MIT","MIT"
"@esbuild/freebsd-arm64","0.25.4","transitive","MIT","MIT"
"@esbuild/freebsd-arm64","0.28.1","transitive","MIT","MIT"
"@esbuild/freebsd-arm64","0.28.2","transitive","MIT","MIT"
